"Modulo 1, Leccion 1",
Parte 1,10:57:43
Pedagogical Page Open Time,10:57:43
Pedagogical Page Close Time,10:57:55
Multiplechoice Page Open Time,10:57:55
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,10:58:10
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:58:15
Multiplechoice Page Close Time,10:58:16
Parte 2,10:58:16
Pedagogical Page Open Time,10:58:16
Pedagogical Page Close Time,10:58:22
Pedagogical2 Page Open Time,10:58:22
Playground Page Open,10:58:24
Playground Page Close,10:58:35
Pedagogical2 Page Close Time,10:58:37
Parte 3,10:58:37
Pedagogical Page Open Time,10:58:37
Playground Page Open,10:58:42
Playground Page Close,10:58:50
Pedagogical Page Close Time,10:58:52
Multiplechoice Page Open Time,10:58:52
Checkbox Selected: Falso,10:58:57
Checkbox Selected: Verdadero,10:59:01
Multiplechoice Page Close Time,10:59:02
Parte 4,10:59:02
Draganddrop Page Open Time,10:59:02
Incorrect Answer Selected: output(729),10:59:15
Correct Answer Selected: print(729),10:59:24
Draganddrop Page Close Time,10:59:25
Pedagogical Page Open Time,10:59:25
Playground Page Open,10:59:27
Playground Page Close,10:59:50
Pedagogical Page Close Time,10:59:51
Parte 5,10:59:51
Multiplechoice Page Open Time,10:59:51
Checkbox Selected: punto y coma ;,11:00:07
Checkbox Selected: barra inclinada /,11:00:10
Checkbox Selected: comillas '' ,11:00:20
Multiplechoice Page Close Time,11:00:21
Pedagogical Page Open Time,11:00:21
Playground Page Open,11:00:24
Playground Page Close,11:00:29
Pedagogical Page Close Time,11:00:30
Parte 6,11:00:30
Pedagogical Page Open Time,11:00:30
Pedagogical Page Close Time,11:00:32

