"Modulo 1, Leccion 1",
Parte 1,12:52:01
Pedagogical Page Open Time,12:52:01
Pedagogical Page Close Time,12:52:03
Multiplechoice Page Open Time,12:52:03
Multiplechoice Page Close Time,12:52:05
Parte 2,12:52:05
Pedagogical Page Open Time,12:52:05
Parte 1,12:52:05
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,12:52:05
Pedagogical Page Close Time,12:52:11
Pedagogical2 Page Open Time,12:52:11
Pedagogical2 Page Close Time,12:52:16
Parte 3,12:52:16
Pedagogical Page Open Time,12:52:16
Pedagogical Page Close Time,12:52:16
Multiplechoice Page Open Time,12:52:16
Checkbox Selected: Verdadero,12:52:19
Multiplechoice Page Close Time,12:52:20
Parte 4,12:52:20
Draganddrop Page Open Time,12:52:20
Correct Answer Selected: print(729),12:52:23
Draganddrop Page Close Time,12:52:24
Pedagogical Page Open Time,12:52:24
Pedagogical Page Close Time,12:52:25
Parte 5,12:52:25
Multiplechoice Page Open Time,12:52:25
Checkbox Selected: comillas '' ,12:52:28
Multiplechoice Page Close Time,12:52:30
Pedagogical Page Open Time,12:52:30
Pedagogical Page Close Time,12:52:30
Parte 6,12:52:30
Pedagogical Page Open Time,12:52:30
Pedagogical Page Close Time,12:52:31

