"Modulo 1, Leccion 1",
Parte 1,14:16:12
Pedagogical Page Open Time,14:16:12
Pedagogical Page Close Time,14:16:13
Multiplechoice Page Open Time,14:16:13
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,14:16:16
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,14:16:16
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:16:18
Multiplechoice Page Close Time,14:16:19
Parte 2,14:16:19
Pedagogical Page Open Time,14:16:19
Pedagogical Page Close Time,14:16:22
Pedagogical2 Page Open Time,14:16:22
Pedagogical2 Page Close Time,14:16:22
Parte 3,14:16:22
Pedagogical Page Open Time,14:16:22
Pedagogical Page Close Time,14:16:23
Multiplechoice Page Open Time,14:16:23
Checkbox Selected: Verdadero,14:16:26
Multiplechoice Page Close Time,14:16:27
Parte 4,14:16:27
Draganddrop Page Open Time,14:16:27
Correct Answer Selected: print(729),14:16:43
Draganddrop Page Close Time,14:16:44
Pedagogical Page Open Time,14:16:44
Pedagogical Page Close Time,14:16:44
Parte 5,14:16:44
Multiplechoice Page Open Time,14:16:44
Multiplechoice Page Close Time,14:16:48
Pedagogical Page Open Time,14:16:48
Checkbox Selected: comillas '' ,14:16:48
Pedagogical Page Close Time,14:16:49
Parte 6,14:16:49
Pedagogical Page Open Time,14:16:49
Pedagogical Page Close Time,14:16:50

