"Modulo 1, Leccion 1",
Parte 1,17:38:50
Pedagogical Page Open Time,17:38:50
Pedagogical Page Close Time,17:38:51
Multiplechoice Page Open Time,17:38:51
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:38:53
Multiplechoice Page Close Time,17:38:54
Parte 2,17:38:54
Pedagogical Page Open Time,17:38:54
Pedagogical Page Close Time,17:38:57
Pedagogical2 Page Open Time,17:38:57
Pedagogical2 Page Close Time,17:38:57
Parte 3,17:38:57
Pedagogical Page Open Time,17:38:57
Pedagogical Page Close Time,17:38:58
Multiplechoice Page Open Time,17:38:58
Checkbox Selected: Verdadero,17:39:00
Multiplechoice Page Close Time,17:39:01
Parte 4,17:39:01
Draganddrop Page Open Time,17:39:01
Correct Answer Selected: print(729),17:39:03
Draganddrop Page Close Time,17:39:04
Pedagogical Page Open Time,17:39:04
Pedagogical Page Close Time,17:39:04
Parte 5,17:39:04
Multiplechoice Page Open Time,17:39:04
Multiplechoice Page Close Time,17:39:08
Pedagogical Page Open Time,17:39:08
Checkbox Selected: comillas '' ,17:39:08
Pedagogical Page Close Time,17:39:09
Parte 6,17:39:09
Pedagogical Page Open Time,17:39:09
Pedagogical Page Close Time,17:39:10

