"Modulo 1, Leccion 1",
Parte 1,10:27:25
Pedagogical Page Open Time,10:27:25
Pedagogical Page Close Time,10:27:27
Multiplechoice Page Open Time,10:27:27
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:27:29
Multiplechoice Page Close Time,10:27:30
Parte 2,10:27:30
Pedagogical Page Open Time,10:27:30
Pedagogical Page Close Time,10:27:35
Pedagogical2 Page Open Time,10:27:35
Pedagogical2 Page Close Time,10:27:35
Parte 3,10:27:35
Pedagogical Page Open Time,10:27:35
Pedagogical Page Close Time,10:27:36
Multiplechoice Page Open Time,10:27:36
Checkbox Selected: Verdadero,10:27:39
Multiplechoice Page Close Time,10:27:40
Parte 4,10:27:40
Draganddrop Page Open Time,10:27:40
Correct Answer Selected: print(729),10:27:43
Draganddrop Page Close Time,10:27:44
Pedagogical Page Open Time,10:27:44
Pedagogical Page Close Time,10:27:45
Parte 5,10:27:45
Multiplechoice Page Open Time,10:27:45
Checkbox Selected: comillas '' ,10:27:47
Multiplechoice Page Close Time,10:27:48
Pedagogical Page Open Time,10:27:48
Pedagogical Page Close Time,10:27:49
Parte 6,10:27:49
Pedagogical Page Open Time,10:27:49
Pedagogical Page Close Time,10:27:50

